n,k_cap_mean,k_cap_sd,radius,simulation_rounds,population_density,replicate,network_density,network_is_connected,network_num_components,network_largest_component_size,network_avg_shortest_path,network_diameter,network_clustering_coef,network_modularity,network_assortativity
1000,50,25.0,10.0,100000,3.1622776601683795e-05,10,0.04294894894894895,True,1,1000,2.2916876876876877,4,0.16555544332196476,0.3603279987472558,0.05879965275343938
1000,50,25.0,10.0,100000,3.1622776601683795e-05,11,0.04269069069069069,True,1,1000,2.2960600600600602,4,0.16409595520476303,0.3713307754824221,0.07450904717792267
1000,50,25.0,10.0,100000,3.1622776601683795e-05,12,0.04342542542542543,True,1,1000,2.2797857857857857,4,0.1664729508814679,0.3683925222013157,0.07183370869401419
1000,50,25.0,10.0,100000,3.1622776601683795e-05,13,0.042630630630630634,True,1,1000,2.2973433433433432,4,0.16840824855490572,0.36572836960270044,0.08478367965616855
1000,50,25.0,10.0,100000,3.1622776601683795e-05,14,0.043981981981981985,True,1,1000,2.274774774774775,4,0.16568004932437588,0.3692320106001994,0.06714875099185896
1000,50,25.0,10.0,100000,3.1622776601683795e-05,15,0.043283283283283285,True,1,1000,2.2803703703703704,4,0.16792415502842303,0.34198054701466163,0.0600520152102397
1000,50,25.0,10.0,100000,3.1622776601683795e-05,16,0.04283683683683684,True,1,1000,2.298142142142142,4,0.16876832525353633,0.37207757208393183,0.07707718660081501
1000,50,25.0,10.0,100000,3.1622776601683795e-05,17,0.04283083083083083,True,1,1000,2.292856856856857,4,0.16969039199523628,0.3901045075853472,0.06691956898746343
1000,50,25.0,10.0,100000,3.1622776601683795e-05,18,0.04242842842842843,True,1,1000,2.3013573573573574,4,0.1696788104376132,0.3809216232926168,0.06660316193963192
1000,50,25.0,10.0,100000,3.1622776601683795e-05,19,0.04347547547547548,True,1,1000,2.2814314314314315,4,0.1684304293943734,0.38646050116609393,0.05793529541951555
1000,50,25.0,10.0,100000,3.1622776601683795e-05,20,0.04332932932932933,True,1,1000,2.2747407407407407,4,0.16522453049356872,0.38907760958490856,0.056119088371062595
1000,50,25.0,10.0,100000,3.1622776601683795e-05,21,0.04342542542542543,True,1,1000,2.287881881881882,4,0.16846865084537443,0.37008576105103086,0.07580145487699413
