threshold_distribution,population_density,k_cap_mean,k_cap_sd,network_replicate,contagion_replicate,final_infected_fraction,time_to_majority,reached_majority_spread,max_slope
uniform_min_1_over_k,1e-05,50,25.0,0,48,0.78,14.0,True,0.04299999999999998
uniform,1e-05,50,25.0,0,49,0.688,9.0,True,0.061
uniform_min_1_over_k,1e-05,50,25.0,0,49,0.781,12.0,True,0.06499999999999997
uniform,1e-05,50,25.0,1,0,0.616,16.0,True,0.04000000000000001
uniform_min_1_over_k,1e-05,50,25.0,1,0,0.317,,False,0.037000000000000005
uniform,1e-05,50,25.0,1,1,0.242,,False,0.054
uniform_min_1_over_k,1e-05,50,25.0,1,1,0.753,12.0,True,0.046999999999999986
uniform,1e-05,50,25.0,1,2,0.757,8.0,True,0.065
uniform_min_1_over_k,1e-05,50,25.0,1,2,0.587,13.0,True,0.05700000000000001
uniform,1e-05,50,25.0,1,3,0.436,,False,0.055
uniform_min_1_over_k,1e-05,50,25.0,1,3,0.665,21.0,True,0.05100000000000002
uniform,1e-05,50,25.0,1,4,0.478,,False,0.053000000000000005
uniform_min_1_over_k,1e-05,50,25.0,1,4,0.722,15.0,True,0.03999999999999998
uniform,1e-05,50,25.0,1,5,0.635,14.0,True,0.055999999999999994
uniform_min_1_over_k,1e-05,50,25.0,1,5,0.768,11.0,True,0.055999999999999994
uniform,1e-05,50,25.0,1,6,0.842,17.0,True,0.058
uniform_min_1_over_k,1e-05,50,25.0,1,6,0.616,12.0,True,0.049999999999999996
uniform,1e-05,50,25.0,1,7,0.418,,False,0.045
uniform_min_1_over_k,1e-05,50,25.0,1,7,0.741,27.0,True,0.034
uniform,1e-05,50,25.0,1,8,0.642,12.0,True,0.056999999999999995
uniform_min_1_over_k,1e-05,50,25.0,1,8,0.78,14.0,True,0.04199999999999998
uniform,1e-05,50,25.0,1,9,0.876,8.0,True,0.07300000000000001
uniform_min_1_over_k,1e-05,50,25.0,1,9,0.456,,False,0.05399999999999999
uniform,1e-05,50,25.0,1,10,0.963,12.0,True,0.05199999999999999
uniform_min_1_over_k,1e-05,50,25.0,1,10,0.693,15.0,True,0.05199999999999999
uniform,1e-05,50,25.0,1,11,0.738,9.0,True,0.07400000000000001
uniform_min_1_over_k,1e-05,50,25.0,1,11,0.734,8.0,True,0.07900000000000001
uniform,1e-05,50,25.0,1,12,0.518,21.0,True,0.044999999999999984
uniform_min_1_over_k,1e-05,50,25.0,1,12,0.789,16.0,True,0.05099999999999999
uniform,1e-05,50,25.0,1,13,0.403,,False,0.043
uniform_min_1_over_k,1e-05,50,25.0,1,13,0.386,,False,0.032999999999999995
uniform,1e-05,50,25.0,1,14,0.931,11.0,True,0.057
uniform_min_1_over_k,1e-05,50,25.0,1,14,0.224,,False,0.033999999999999996
uniform,1e-05,50,25.0,1,15,0.574,16.0,True,0.041
uniform_min_1_over_k,1e-05,50,25.0,1,15,0.799,16.0,True,0.045999999999999985
uniform,1e-05,50,25.0,1,16,0.33,,False,0.047999999999999994
uniform_min_1_over_k,1e-05,50,25.0,1,16,0.34,,False,0.029000000000000005
uniform,1e-05,50,25.0,1,17,0.369,,False,0.046
uniform_min_1_over_k,1e-05,50,25.0,1,17,0.55,18.0,True,0.038000000000000034
uniform,1e-05,50,25.0,1,18,0.611,19.0,True,0.04300000000000001
