threshold_distribution,population_density,k_cap_mean,k_cap_sd,network_replicate,contagion_replicate,final_infected_fraction,time_to_majority,reached_majority_spread,max_slope
uniform_min_1_over_k,1.0,50,25.0,32,29,0.286,,False,0.026999999999999996
uniform,1.0,50,25.0,32,30,0.837,18.0,True,0.03900000000000001
uniform_min_1_over_k,1.0,50,25.0,32,30,0.244,,False,0.035
uniform,1.0,50,25.0,32,31,0.853,13.0,True,0.04700000000000001
uniform_min_1_over_k,1.0,50,25.0,32,31,0.57,20.0,True,0.037000000000000005
uniform,1.0,50,25.0,32,32,0.459,,False,0.04400000000000001
uniform_min_1_over_k,1.0,50,25.0,32,32,0.822,11.0,True,0.05499999999999999
uniform,1.0,50,25.0,32,33,0.767,17.0,True,0.049999999999999996
uniform_min_1_over_k,1.0,50,25.0,32,33,0.54,17.0,True,0.043000000000000003
uniform,1.0,50,25.0,32,34,0.695,18.0,True,0.045000000000000005
uniform_min_1_over_k,1.0,50,25.0,32,34,0.459,,False,0.04300000000000001
uniform,1.0,50,25.0,32,35,0.538,23.0,True,0.039999999999999994
uniform_min_1_over_k,1.0,50,25.0,32,35,0.865,23.0,True,0.027000000000000024
uniform,1.0,50,25.0,32,36,0.827,14.0,True,0.05099999999999999
uniform_min_1_over_k,1.0,50,25.0,32,36,0.549,12.0,True,0.063
uniform,1.0,50,25.0,32,37,0.794,12.0,True,0.052
uniform_min_1_over_k,1.0,50,25.0,32,37,0.399,,False,0.039
uniform,1.0,50,25.0,32,38,0.766,20.0,True,0.053000000000000005
uniform_min_1_over_k,1.0,50,25.0,32,38,0.87,11.0,True,0.05499999999999999
uniform,1.0,50,25.0,32,39,0.74,15.0,True,0.04300000000000001
uniform_min_1_over_k,1.0,50,25.0,32,39,0.752,23.0,True,0.03499999999999999
uniform,1.0,50,25.0,32,40,0.556,17.0,True,0.046000000000000006
uniform_min_1_over_k,1.0,50,25.0,32,40,0.732,9.0,True,0.06499999999999999
uniform,1.0,50,25.0,32,41,0.637,16.0,True,0.05499999999999999
uniform_min_1_over_k,1.0,50,25.0,32,41,0.62,17.0,True,0.05499999999999999
uniform,1.0,50,25.0,32,42,0.717,25.0,True,0.035
uniform_min_1_over_k,1.0,50,25.0,32,42,0.735,17.0,True,0.03600000000000003
uniform,1.0,50,25.0,32,43,0.842,10.0,True,0.058
uniform_min_1_over_k,1.0,50,25.0,32,43,0.792,18.0,True,0.042
uniform,1.0,50,25.0,32,44,0.891,15.0,True,0.056999999999999995
uniform_min_1_over_k,1.0,50,25.0,32,44,0.858,13.0,True,0.04100000000000001
uniform,1.0,50,25.0,32,45,0.567,18.0,True,0.056
uniform_min_1_over_k,1.0,50,25.0,32,45,0.485,,False,0.07100000000000001
uniform,1.0,50,25.0,32,46,0.727,12.0,True,0.057999999999999996
uniform_min_1_over_k,1.0,50,25.0,32,46,0.886,9.0,True,0.07399999999999995
uniform,1.0,50,25.0,32,47,0.829,16.0,True,0.03900000000000001
uniform_min_1_over_k,1.0,50,25.0,32,47,0.32,,False,0.027000000000000003
uniform,1.0,50,25.0,32,48,0.837,9.0,True,0.06499999999999995
uniform_min_1_over_k,1.0,50,25.0,32,48,0.844,25.0,True,0.053000000000000005
uniform,1.0,50,25.0,32,49,0.727,14.0,True,0.04999999999999999
uniform_min_1_over_k,1.0,50,25.0,32,49,0.398,,False,0.04200000000000001
uniform,1.0,50,25.0,33,0,0.806,10.0,True,0.07100000000000001
uniform_min_1_over_k,1.0,50,25.0,33,0,0.739,11.0,True,0.05000000000000002
uniform,1.0,50,25.0,33,1,0.694,10.0,True,0.06
uniform_min_1_over_k,1.0,50,25.0,33,1,0.9,8.0,True,0.07100000000000001
uniform,1.0,50,25.0,33,2,0.723,39.0,True,0.033
uniform_min_1_over_k,1.0,50,25.0,33,2,0.307,,False,0.033
uniform,1.0,50,25.0,33,3,0.515,21.0,True,0.05399999999999999
uniform_min_1_over_k,1.0,50,25.0,33,3,0.592,15.0,True,0.04199999999999998
uniform,1.0,50,25.0,33,4,0.53,31.0,True,0.051000000000000004
uniform_min_1_over_k,1.0,50,25.0,33,4,0.8,11.0,True,0.05299999999999999
uniform,1.0,50,25.0,33,5,0.773,16.0,True,0.054000000000000006
uniform_min_1_over_k,1.0,50,25.0,33,5,0.8,11.0,True,0.056999999999999995
uniform,1.0,50,25.0,33,6,0.518,22.0,True,0.05
uniform_min_1_over_k,1.0,50,25.0,33,6,0.937,24.0,True,0.03600000000000003
uniform,1.0,50,25.0,33,7,0.699,13.0,True,0.056
uniform_min_1_over_k,1.0,50,25.0,33,7,0.555,13.0,True,0.05300000000000002
uniform,1.0,50,25.0,33,8,0.688,13.0,True,0.05900000000000001
uniform_min_1_over_k,1.0,50,25.0,33,8,0.268,,False,0.04300000000000001
uniform,1.0,50,25.0,33,9,0.474,,False,0.063
uniform_min_1_over_k,1.0,50,25.0,33,9,0.734,12.0,True,0.054
uniform,1.0,50,25.0,33,10,0.756,22.0,True,0.041999999999999996
uniform_min_1_over_k,1.0,50,25.0,33,10,0.22,,False,0.036000000000000004
uniform,1.0,50,25.0,33,11,0.202,,False,0.04699999999999999
uniform_min_1_over_k,1.0,50,25.0,33,11,0.804,14.0,True,0.05099999999999999
uniform,1.0,50,25.0,33,12,0.485,,False,0.048999999999999995
uniform_min_1_over_k,1.0,50,25.0,33,12,0.667,21.0,True,0.045000000000000005
uniform,1.0,50,25.0,33,13,0.434,,False,0.031999999999999994
uniform_min_1_over_k,1.0,50,25.0,33,13,0.62,26.0,True,0.041999999999999996
uniform,1.0,50,25.0,33,14,0.338,,False,0.052
uniform_min_1_over_k,1.0,50,25.0,33,14,0.375,,False,0.031
uniform,1.0,50,25.0,33,15,0.937,14.0,True,0.05
uniform_min_1_over_k,1.0,50,25.0,33,15,0.459,,False,0.03900000000000001
uniform,1.0,50,25.0,33,16,0.888,11.0,True,0.05599999999999994
uniform_min_1_over_k,1.0,50,25.0,33,16,0.511,32.0,True,0.035
uniform,1.0,50,25.0,33,17,0.763,18.0,True,0.060999999999999985
uniform_min_1_over_k,1.0,50,25.0,33,17,0.511,20.0,True,0.05000000000000002
uniform,1.0,50,25.0,33,18,0.553,33.0,True,0.043
uniform_min_1_over_k,1.0,50,25.0,33,18,0.548,32.0,True,0.05399999999999999
uniform,1.0,50,25.0,33,19,0.659,10.0,True,0.058000000000000024
uniform_min_1_over_k,1.0,50,25.0,33,19,0.761,11.0,True,0.064
uniform,1.0,50,25.0,33,20,0.72,10.0,True,0.067
uniform_min_1_over_k,1.0,50,25.0,33,20,0.661,13.0,True,0.048
uniform,1.0,50,25.0,33,21,0.247,,False,0.030000000000000006
uniform_min_1_over_k,1.0,50,25.0,33,21,0.392,,False,0.036000000000000004
uniform,1.0,50,25.0,33,22,0.632,14.0,True,0.046999999999999986
uniform_min_1_over_k,1.0,50,25.0,33,22,0.681,12.0,True,0.04999999999999999
uniform,1.0,50,25.0,33,23,0.935,7.0,True,0.07500000000000001
uniform_min_1_over_k,1.0,50,25.0,33,23,0.677,9.0,True,0.065
uniform,1.0,50,25.0,33,24,0.655,24.0,True,0.034999999999999996
uniform_min_1_over_k,1.0,50,25.0,33,24,0.302,,False,0.036
uniform,1.0,50,25.0,33,25,0.322,,False,0.037000000000000005
uniform_min_1_over_k,1.0,50,25.0,33,25,0.663,13.0,True,0.05399999999999999
uniform,1.0,50,25.0,33,26,0.385,,False,0.045
uniform_min_1_over_k,1.0,50,25.0,33,26,0.439,,False,0.033
uniform,1.0,50,25.0,33,27,0.603,10.0,True,0.067
uniform_min_1_over_k,1.0,50,25.0,33,27,0.521,11.0,True,0.068
uniform,1.0,50,25.0,33,28,0.659,11.0,True,0.056999999999999995
uniform_min_1_over_k,1.0,50,25.0,33,28,0.891,13.0,True,0.044999999999999984
uniform,1.0,50,25.0,33,29,0.853,12.0,True,0.05700000000000001
uniform_min_1_over_k,1.0,50,25.0,33,29,0.342,,False,0.04100000000000001
uniform,1.0,50,25.0,33,30,0.519,22.0,True,0.04699999999999999
uniform_min_1_over_k,1.0,50,25.0,33,30,0.283,,False,0.035
uniform,1.0,50,25.0,33,31,0.695,18.0,True,0.036000000000000004
uniform_min_1_over_k,1.0,50,25.0,33,31,0.505,22.0,True,0.034999999999999996
uniform,1.0,50,25.0,33,32,0.572,12.0,True,0.049999999999999996
uniform_min_1_over_k,1.0,50,25.0,33,32,0.819,13.0,True,0.051000000000000004
uniform,1.0,50,25.0,33,33,0.595,11.0,True,0.058
uniform_min_1_over_k,1.0,50,25.0,33,33,0.487,,False,0.06
uniform,1.0,50,25.0,33,34,0.793,19.0,True,0.040999999999999995
uniform_min_1_over_k,1.0,50,25.0,33,34,0.808,12.0,True,0.05199999999999999
uniform,1.0,50,25.0,33,35,0.473,,False,0.044000000000000004
uniform_min_1_over_k,1.0,50,25.0,33,35,0.838,12.0,True,0.04899999999999999
uniform,1.0,50,25.0,33,36,0.833,14.0,True,0.04400000000000004
uniform_min_1_over_k,1.0,50,25.0,33,36,0.809,13.0,True,0.059
uniform,1.0,50,25.0,33,37,0.635,33.0,True,0.041999999999999996
uniform_min_1_over_k,1.0,50,25.0,33,37,0.421,,False,0.037000000000000005
uniform,1.0,50,25.0,33,38,0.38,,False,0.04899999999999999
uniform_min_1_over_k,1.0,50,25.0,33,38,0.651,16.0,True,0.056
uniform,1.0,50,25.0,33,39,0.532,16.0,True,0.05400000000000002
uniform_min_1_over_k,1.0,50,25.0,33,39,0.531,21.0,True,0.033
uniform,1.0,50,25.0,33,40,0.222,,False,0.037
uniform_min_1_over_k,1.0,50,25.0,33,40,0.884,11.0,True,0.059
uniform,1.0,50,25.0,33,41,0.75,11.0,True,0.055999999999999994
uniform_min_1_over_k,1.0,50,25.0,33,41,0.57,13.0,True,0.05700000000000002
uniform,1.0,50,25.0,33,42,0.721,13.0,True,0.052000000000000005
uniform_min_1_over_k,1.0,50,25.0,33,42,0.713,15.0,True,0.04100000000000001
uniform,1.0,50,25.0,33,43,0.771,12.0,True,0.056
uniform_min_1_over_k,1.0,50,25.0,33,43,0.69,11.0,True,0.04899999999999999
uniform,1.0,50,25.0,33,44,0.651,32.0,True,0.040999999999999995
uniform_min_1_over_k,1.0,50,25.0,33,44,0.527,23.0,True,0.045
uniform,1.0,50,25.0,33,45,0.618,14.0,True,0.049999999999999996
uniform_min_1_over_k,1.0,50,25.0,33,45,0.504,29.0,True,0.037
uniform,1.0,50,25.0,33,46,0.658,15.0,True,0.043000000000000003
uniform_min_1_over_k,1.0,50,25.0,33,46,0.3,,False,0.033999999999999996
uniform,1.0,50,25.0,33,47,0.266,,False,0.041999999999999996
uniform_min_1_over_k,1.0,50,25.0,33,47,0.626,29.0,True,0.04300000000000001
uniform,1.0,50,25.0,33,48,0.712,15.0,True,0.049999999999999996
uniform_min_1_over_k,1.0,50,25.0,33,48,0.686,23.0,True,0.049999999999999996
uniform,1.0,50,25.0,33,49,0.892,10.0,True,0.05600000000000005
uniform_min_1_over_k,1.0,50,25.0,33,49,0.567,18.0,True,0.049
uniform,1.0,50,25.0,34,0,0.698,29.0,True,0.043999999999999984
uniform_min_1_over_k,1.0,50,25.0,34,0,0.59,22.0,True,0.028999999999999998
uniform,1.0,50,25.0,34,1,0.32,,False,0.036000000000000004
uniform_min_1_over_k,1.0,50,25.0,34,1,0.595,34.0,True,0.041999999999999996
uniform,1.0,50,25.0,34,2,0.82,15.0,True,0.040999999999999995
uniform_min_1_over_k,1.0,50,25.0,34,2,0.52,17.0,True,0.048
uniform,1.0,50,25.0,34,3,0.569,16.0,True,0.056999999999999995
uniform_min_1_over_k,1.0,50,25.0,34,3,0.629,19.0,True,0.046
uniform,1.0,50,25.0,34,4,0.564,23.0,True,0.045000000000000005
uniform_min_1_over_k,1.0,50,25.0,34,4,0.31,,False,0.045000000000000005
uniform,1.0,50,25.0,34,5,0.494,,False,0.036000000000000004
uniform_min_1_over_k,1.0,50,25.0,34,5,0.484,,False,0.048000000000000015
uniform,1.0,50,25.0,34,6,0.751,10.0,True,0.054000000000000006
uniform_min_1_over_k,1.0,50,25.0,34,6,0.784,12.0,True,0.05500000000000001
uniform,1.0,50,25.0,34,7,0.704,20.0,True,0.047
uniform_min_1_over_k,1.0,50,25.0,34,7,0.415,,False,0.044999999999999984
uniform,1.0,50,25.0,34,8,0.896,9.0,True,0.06099999999999999
uniform_min_1_over_k,1.0,50,25.0,34,8,0.44,,False,0.04299999999999998
uniform,1.0,50,25.0,34,9,0.441,,False,0.049999999999999996
uniform_min_1_over_k,1.0,50,25.0,34,9,0.522,15.0,True,0.047999999999999994
uniform,1.0,50,25.0,34,10,0.753,11.0,True,0.051000000000000004
uniform_min_1_over_k,1.0,50,25.0,34,10,0.432,,False,0.044
uniform,1.0,50,25.0,34,11,0.652,15.0,True,0.055999999999999994
uniform_min_1_over_k,1.0,50,25.0,34,11,0.649,17.0,True,0.03400000000000003
uniform,1.0,50,25.0,34,12,0.907,10.0,True,0.06100000000000001
uniform_min_1_over_k,1.0,50,25.0,34,12,0.648,11.0,True,0.06200000000000003
uniform,1.0,50,25.0,34,13,0.689,11.0,True,0.054000000000000006
uniform_min_1_over_k,1.0,50,25.0,34,13,0.531,19.0,True,0.041
uniform,1.0,50,25.0,34,14,0.841,15.0,True,0.049
uniform_min_1_over_k,1.0,50,25.0,34,14,0.74,23.0,True,0.038000000000000006
uniform,1.0,50,25.0,34,15,0.869,14.0,True,0.05299999999999999
uniform_min_1_over_k,1.0,50,25.0,34,15,0.678,13.0,True,0.045999999999999985
uniform,1.0,50,25.0,34,16,0.671,14.0,True,0.049
uniform_min_1_over_k,1.0,50,25.0,34,16,0.586,14.0,True,0.04799999999999999
uniform,1.0,50,25.0,34,17,0.749,11.0,True,0.05199999999999999
uniform_min_1_over_k,1.0,50,25.0,34,17,0.945,10.0,True,0.06599999999999999
uniform,1.0,50,25.0,34,18,0.538,25.0,True,0.05999999999999999
uniform_min_1_over_k,1.0,50,25.0,34,18,0.796,8.0,True,0.07499999999999998
uniform,1.0,50,25.0,34,19,0.932,11.0,True,0.061
uniform_min_1_over_k,1.0,50,25.0,34,19,0.851,11.0,True,0.051000000000000004
uniform,1.0,50,25.0,34,20,0.502,30.0,True,0.04800000000000001
uniform_min_1_over_k,1.0,50,25.0,34,20,0.677,11.0,True,0.05299999999999999
uniform,1.0,50,25.0,34,21,0.353,,False,0.028999999999999998
uniform_min_1_over_k,1.0,50,25.0,34,21,0.597,32.0,True,0.03900000000000001
uniform,1.0,50,25.0,34,22,0.649,13.0,True,0.055999999999999994
uniform_min_1_over_k,1.0,50,25.0,34,22,0.813,8.0,True,0.07200000000000004
uniform,1.0,50,25.0,34,23,0.519,28.0,True,0.055999999999999994
uniform_min_1_over_k,1.0,50,25.0,34,23,0.752,16.0,True,0.040999999999999995
uniform,1.0,50,25.0,34,24,0.588,22.0,True,0.051
uniform_min_1_over_k,1.0,50,25.0,34,24,0.538,18.0,True,0.049999999999999996
uniform,1.0,50,25.0,34,25,0.643,15.0,True,0.05299999999999999
uniform_min_1_over_k,1.0,50,25.0,34,25,0.69,27.0,True,0.03
uniform,1.0,50,25.0,34,26,0.79,11.0,True,0.05499999999999999
uniform_min_1_over_k,1.0,50,25.0,34,26,0.658,21.0,True,0.037
uniform,1.0,50,25.0,34,27,0.962,15.0,True,0.044000000000000004
uniform_min_1_over_k,1.0,50,25.0,34,27,0.622,15.0,True,0.04400000000000001
uniform,1.0,50,25.0,34,28,0.688,19.0,True,0.046
uniform_min_1_over_k,1.0,50,25.0,34,28,0.483,,False,0.03599999999999999
uniform,1.0,50,25.0,34,29,0.943,9.0,True,0.066
uniform_min_1_over_k,1.0,50,25.0,34,29,0.677,10.0,True,0.05500000000000005
uniform,1.0,50,25.0,34,30,0.685,18.0,True,0.035
uniform_min_1_over_k,1.0,50,25.0,34,30,0.71,16.0,True,0.03899999999999998
uniform,1.0,50,25.0,34,31,0.522,34.0,True,0.046
uniform_min_1_over_k,1.0,50,25.0,34,31,0.552,14.0,True,0.04600000000000004
uniform,1.0,50,25.0,34,32,0.899,12.0,True,0.046
uniform_min_1_over_k,1.0,50,25.0,34,32,0.503,22.0,True,0.06200000000000001
uniform,1.0,50,25.0,34,33,0.839,14.0,True,0.039999999999999994
uniform_min_1_over_k,1.0,50,25.0,34,33,0.794,10.0,True,0.055999999999999994
uniform,1.0,50,25.0,34,34,0.46,,False,0.05700000000000001
uniform_min_1_over_k,1.0,50,25.0,34,34,0.601,12.0,True,0.06300000000000001
uniform,1.0,50,25.0,34,35,0.517,43.0,True,0.041999999999999996
uniform_min_1_over_k,1.0,50,25.0,34,35,0.859,26.0,True,0.039000000000000035
uniform,1.0,50,25.0,34,36,0.563,14.0,True,0.057
uniform_min_1_over_k,1.0,50,25.0,34,36,0.644,14.0,True,0.046999999999999986
uniform,1.0,50,25.0,34,37,0.574,24.0,True,0.05299999999999999
uniform_min_1_over_k,1.0,50,25.0,34,37,0.92,9.0,True,0.064
uniform,1.0,50,25.0,34,38,0.858,11.0,True,0.068
uniform_min_1_over_k,1.0,50,25.0,34,38,0.83,19.0,True,0.04899999999999999
uniform,1.0,50,25.0,34,39,0.936,10.0,True,0.05099999999999999
uniform_min_1_over_k,1.0,50,25.0,34,39,0.807,9.0,True,0.07599999999999998
uniform,1.0,50,25.0,34,40,0.817,20.0,True,0.046000000000000006
uniform_min_1_over_k,1.0,50,25.0,34,40,0.658,13.0,True,0.061999999999999986
uniform,1.0,50,25.0,34,41,0.685,13.0,True,0.04500000000000001
uniform_min_1_over_k,1.0,50,25.0,34,41,0.603,22.0,True,0.04100000000000001
uniform,1.0,50,25.0,34,42,0.473,,False,0.056999999999999995
uniform_min_1_over_k,1.0,50,25.0,34,42,0.303,,False,0.038000000000000006
uniform,1.0,50,25.0,34,43,0.279,,False,0.040999999999999995
uniform_min_1_over_k,1.0,50,25.0,34,43,0.577,21.0,True,0.037000000000000005
uniform,1.0,50,25.0,34,44,0.841,20.0,True,0.037000000000000005
uniform_min_1_over_k,1.0,50,25.0,34,44,0.645,10.0,True,0.05499999999999999
uniform,1.0,50,25.0,34,45,0.651,31.0,True,0.04899999999999999
uniform_min_1_over_k,1.0,50,25.0,34,45,0.489,,False,0.054000000000000006
uniform,1.0,50,25.0,34,46,0.53,16.0,True,0.064
uniform_min_1_over_k,1.0,50,25.0,34,46,0.762,14.0,True,0.054000000000000006
uniform,1.0,50,25.0,34,47,0.772,14.0,True,0.04400000000000001
uniform_min_1_over_k,1.0,50,25.0,34,47,0.904,11.0,True,0.059
uniform,1.0,50,25.0,34,48,0.928,9.0,True,0.06399999999999999
uniform_min_1_over_k,1.0,50,25.0,34,48,0.34,,False,0.036
uniform,1.0,50,25.0,34,49,0.716,13.0,True,0.05299999999999999
uniform_min_1_over_k,1.0,50,25.0,34,49,0.799,10.0,True,0.05499999999999999
uniform,1.0,50,25.0,35,0,0.848,15.0,True,0.04500000000000001
uniform_min_1_over_k,1.0,50,25.0,35,0,0.438,,False,0.04500000000000001
uniform,1.0,50,25.0,35,1,0.309,,False,0.032999999999999995
uniform_min_1_over_k,1.0,50,25.0,35,1,0.355,,False,0.03
uniform,1.0,50,25.0,35,2,0.719,20.0,True,0.051000000000000004
uniform_min_1_over_k,1.0,50,25.0,35,2,0.75,14.0,True,0.044999999999999984
uniform,1.0,50,25.0,35,3,0.659,9.0,True,0.068
uniform_min_1_over_k,1.0,50,25.0,35,3,0.37,,False,0.052
uniform,1.0,50,25.0,35,4,0.436,,False,0.04300000000000001
uniform_min_1_over_k,1.0,50,25.0,35,4,0.581,17.0,True,0.042
uniform,1.0,50,25.0,35,5,0.567,14.0,True,0.057999999999999996
uniform_min_1_over_k,1.0,50,25.0,35,5,0.699,30.0,True,0.056999999999999995
uniform,1.0,50,25.0,35,6,0.861,19.0,True,0.05300000000000002
uniform_min_1_over_k,1.0,50,25.0,35,6,0.637,9.0,True,0.07300000000000001
uniform,1.0,50,25.0,35,7,0.696,21.0,True,0.04200000000000004
uniform_min_1_over_k,1.0,50,25.0,35,7,0.508,32.0,True,0.05399999999999999
uniform,1.0,50,25.0,35,8,0.412,,False,0.054
uniform_min_1_over_k,1.0,50,25.0,35,8,0.882,8.0,True,0.06399999999999995
uniform,1.0,50,25.0,35,9,0.569,17.0,True,0.069
uniform_min_1_over_k,1.0,50,25.0,35,9,0.387,,False,0.049999999999999996
uniform,1.0,50,25.0,35,10,0.508,27.0,True,0.04600000000000001
uniform_min_1_over_k,1.0,50,25.0,35,10,0.799,11.0,True,0.055
uniform,1.0,50,25.0,35,11,0.65,17.0,True,0.039999999999999994
uniform_min_1_over_k,1.0,50,25.0,35,11,0.328,,False,0.021000000000000005
uniform,1.0,50,25.0,35,12,0.861,10.0,True,0.05399999999999999
uniform_min_1_over_k,1.0,50,25.0,35,12,0.57,14.0,True,0.047
uniform,1.0,50,25.0,35,13,0.612,23.0,True,0.04600000000000001
uniform_min_1_over_k,1.0,50,25.0,35,13,0.375,,False,0.025999999999999995
uniform,1.0,50,25.0,35,14,0.452,,False,0.038
uniform_min_1_over_k,1.0,50,25.0,35,14,0.573,14.0,True,0.04100000000000001
uniform,1.0,50,25.0,35,15,0.946,15.0,True,0.055
uniform_min_1_over_k,1.0,50,25.0,35,15,0.731,24.0,True,0.04
uniform,1.0,50,25.0,35,16,0.728,19.0,True,0.044
uniform_min_1_over_k,1.0,50,25.0,35,16,0.354,,False,0.043
uniform,1.0,50,25.0,35,17,0.549,26.0,True,0.044000000000000004
uniform_min_1_over_k,1.0,50,25.0,35,17,0.38,,False,0.038
uniform,1.0,50,25.0,35,18,0.706,16.0,True,0.04600000000000001
uniform_min_1_over_k,1.0,50,25.0,35,18,0.771,15.0,True,0.046999999999999986
uniform,1.0,50,25.0,35,19,0.829,19.0,True,0.052
uniform_min_1_over_k,1.0,50,25.0,35,19,0.622,12.0,True,0.05500000000000001
uniform,1.0,50,25.0,35,20,0.425,,False,0.04599999999999999
uniform_min_1_over_k,1.0,50,25.0,35,20,0.485,,False,0.040999999999999995
uniform,1.0,50,25.0,35,21,0.35,,False,0.048999999999999995
uniform_min_1_over_k,1.0,50,25.0,35,21,0.691,13.0,True,0.046999999999999986
uniform,1.0,50,25.0,35,22,0.675,12.0,True,0.059
uniform_min_1_over_k,1.0,50,25.0,35,22,0.654,19.0,True,0.056999999999999995
uniform,1.0,50,25.0,35,23,0.229,,False,0.033
uniform_min_1_over_k,1.0,50,25.0,35,23,0.422,,False,0.052000000000000005
uniform,1.0,50,25.0,35,24,0.552,20.0,True,0.065
uniform_min_1_over_k,1.0,50,25.0,35,24,0.684,10.0,True,0.07300000000000001
uniform,1.0,50,25.0,35,25,0.746,12.0,True,0.046000000000000006
uniform_min_1_over_k,1.0,50,25.0,35,25,0.716,21.0,True,0.04100000000000001
uniform,1.0,50,25.0,35,26,0.443,,False,0.049
uniform_min_1_over_k,1.0,50,25.0,35,26,0.441,,False,0.04499999999999999
uniform,1.0,50,25.0,35,27,0.774,12.0,True,0.05399999999999999
uniform_min_1_over_k,1.0,50,25.0,35,27,0.533,12.0,True,0.05200000000000002
uniform,1.0,50,25.0,35,28,0.254,,False,0.048000000000000015
uniform_min_1_over_k,1.0,50,25.0,35,28,0.301,,False,0.046999999999999986
uniform,1.0,50,25.0,35,29,0.601,19.0,True,0.042
uniform_min_1_over_k,1.0,50,25.0,35,29,0.832,8.0,True,0.069
uniform,1.0,50,25.0,35,30,0.822,10.0,True,0.062
uniform_min_1_over_k,1.0,50,25.0,35,30,0.719,10.0,True,0.061999999999999986
uniform,1.0,50,25.0,35,31,0.711,14.0,True,0.055999999999999994
uniform_min_1_over_k,1.0,50,25.0,35,31,0.704,13.0,True,0.043999999999999984
uniform,1.0,50,25.0,35,32,0.967,9.0,True,0.061000000000000026
uniform_min_1_over_k,1.0,50,25.0,35,32,0.503,35.0,True,0.03599999999999999
uniform,1.0,50,25.0,35,33,0.673,11.0,True,0.06
uniform_min_1_over_k,1.0,50,25.0,35,33,0.761,18.0,True,0.04299999999999998
uniform,1.0,50,25.0,35,34,0.65,9.0,True,0.066
uniform_min_1_over_k,1.0,50,25.0,35,34,0.551,32.0,True,0.066
uniform,1.0,50,25.0,35,35,0.431,,False,0.056
uniform_min_1_over_k,1.0,50,25.0,35,35,0.589,17.0,True,0.048999999999999995
uniform,1.0,50,25.0,35,36,0.428,,False,0.04100000000000001
uniform_min_1_over_k,1.0,50,25.0,35,36,0.659,18.0,True,0.04500000000000001
uniform,1.0,50,25.0,35,37,0.696,11.0,True,0.059
uniform_min_1_over_k,1.0,50,25.0,35,37,0.651,11.0,True,0.061999999999999986
uniform,1.0,50,25.0,35,38,0.624,18.0,True,0.048
uniform_min_1_over_k,1.0,50,25.0,35,38,0.648,14.0,True,0.04800000000000004
uniform,1.0,50,25.0,35,39,0.698,15.0,True,0.051000000000000004
uniform_min_1_over_k,1.0,50,25.0,35,39,0.576,15.0,True,0.04699999999999999
uniform,1.0,50,25.0,35,40,0.499,,False,0.051000000000000004
uniform_min_1_over_k,1.0,50,25.0,35,40,0.608,30.0,True,0.033000000000000015
uniform,1.0,50,25.0,35,41,0.34,,False,0.038000000000000006
uniform_min_1_over_k,1.0,50,25.0,35,41,0.412,,False,0.049
uniform,1.0,50,25.0,35,42,0.691,8.0,True,0.07500000000000001
uniform_min_1_over_k,1.0,50,25.0,35,42,0.794,9.0,True,0.078
uniform,1.0,50,25.0,35,43,0.326,,False,0.043
uniform_min_1_over_k,1.0,50,25.0,35,43,0.494,,False,0.03799999999999999
uniform,1.0,50,25.0,35,44,0.435,,False,0.04300000000000001
uniform_min_1_over_k,1.0,50,25.0,35,44,0.343,,False,0.04300000000000001
uniform,1.0,50,25.0,35,45,0.627,13.0,True,0.05499999999999999
uniform_min_1_over_k,1.0,50,25.0,35,45,0.694,11.0,True,0.066
uniform,1.0,50,25.0,35,46,0.364,,False,0.04699999999999999
uniform_min_1_over_k,1.0,50,25.0,35,46,0.328,,False,0.047999999999999994
uniform,1.0,50,25.0,35,47,0.455,,False,0.052
uniform_min_1_over_k,1.0,50,25.0,35,47,0.9,10.0,True,0.06000000000000001
uniform,1.0,50,25.0,35,48,0.612,17.0,True,0.03899999999999999
uniform_min_1_over_k,1.0,50,25.0,35,48,0.49,,False,0.03900000000000001
uniform,1.0,50,25.0,35,49,0.625,10.0,True,0.049
uniform_min_1_over_k,1.0,50,25.0,35,49,0.855,19.0,True,0.04999999999999999
uniform,1.0,50,25.0,36,0,0.943,10.0,True,0.056999999999999995
uniform_min_1_over_k,1.0,50,25.0,36,0,0.817,16.0,True,0.04299999999999998
uniform,1.0,50,25.0,36,1,0.711,13.0,True,0.057999999999999996
uniform_min_1_over_k,1.0,50,25.0,36,1,0.333,,False,0.040999999999999995
uniform,1.0,50,25.0,36,2,0.601,17.0,True,0.043999999999999984
uniform_min_1_over_k,1.0,50,25.0,36,2,0.595,16.0,True,0.03500000000000003
uniform,1.0,50,25.0,36,3,0.729,12.0,True,0.052000000000000005
uniform_min_1_over_k,1.0,50,25.0,36,3,0.665,11.0,True,0.05399999999999999
uniform,1.0,50,25.0,36,4,0.855,16.0,True,0.058
uniform_min_1_over_k,1.0,50,25.0,36,4,0.615,17.0,True,0.05800000000000001
uniform,1.0,50,25.0,36,5,0.956,12.0,True,0.05100000000000002
uniform_min_1_over_k,1.0,50,25.0,36,5,0.232,,False,0.037000000000000005
uniform,1.0,50,25.0,36,6,0.695,16.0,True,0.045999999999999985
uniform_min_1_over_k,1.0,50,25.0,36,6,0.792,11.0,True,0.05399999999999999
uniform,1.0,50,25.0,36,7,0.781,16.0,True,0.047
uniform_min_1_over_k,1.0,50,25.0,36,7,0.691,13.0,True,0.05399999999999999
uniform,1.0,50,25.0,36,8,0.481,,False,0.040999999999999995
